Key,English [en-GB]
GUI_CONFIRMATION_CANCEL_ABILITY,{0} will be lost/burnt
GUI_CONFIRMATION_CANCEL_DISCARD_ABILITY,{0} will be discarded
GUI_CONFIRMATION_ENABLE_PERK,Gain {0} {1}/{2}
GUI_CONFIRMATION_ENABLE_PERK_WARNING,"Once applied, a Perk cannot be removed"
GUI_CONFIRMATION_EXIT_JOURNEY,Abandon Journey to the {0}
GUI_CONFIRMATION_EXIT_QUEST,Abandon Quest
GUI_CONFIRMATION_LEVELUP_CARD,Add this card to your available abilities?
GUI_CONFIRMATION_LOSE_PROGRESS,All progress made on this round will be lost.
GUI_CONFIRMATION_LOSE_PROGRESS_QUEST,All progress on this Quest will be lost and you will be returned to the previous checkpoint.
GUI_CONFIRMATION_LOSE_PROGRESS_SCENARIO,All progress on this Journey will be lost and you will be returned to the previous Village.
GUI_CONFIRMATION_RETURN_MAINMENU,Return to Main Menu
GUI_CONFIRMATION_SELL,Sell {0}
GUI_CONFIRMATION_SELL_EQUIPPED,"{0}  is currently equipped by {1}, sell anyway?"
GUI_CONFIRMATION_SELL_RECEIVE,Receive:
GUI_CONFIRMATION_START_ADVENTURE,Start a Journey
GUI_CONFIRM_ACTION,Confirm Action
GUI_CONFIRM_ATTACK,Confirm Attack
GUI_CONFIRM_MOVEMENT,Confirm Movement
GUI_CONFIRM_PULL,Confirm Pull
GUI_CONFIRM_PUSH,Confirm Push
GUI_CONFIRM_TARGETS,Confirm Targets
GUI_CONTINUE,Continue
GUI_COPY,Copy
GUI_CREATE_MODCONFIG,Create ModConfig
GUI_CREATE_MODDING,Create Mod
GUI_CREATE_MODS_DESC,Create and manage your own personal mods and share them with the modding comunity
GUI_CREATE_MODS_TITLE,Create Mods
GUI_CURRENT_TURN,Current Turn
GUI_CUSTOM_MODS_TITLE,Custom Mods:
GUI_CUSTOM_RULESETS_DESC,Activate Mods to apply them to your game's Ruleset.
GUI_CUSTOM_RULESETS_TITLE,Custom Rulesets
GUI_DELETE,Delete
GUI_DELETE_PARTY_CONFIRMATION,Do you want to delete this save?
GUI_DELETE_WARNING,This action can't be undone. Do you want to continue?
GUI_DIFFICULTY_HARD,Hard
GUI_DIFFICULTY_INSANE,Insane
GUI_DIFFICULTY_NORMAL,Normal
GUI_DIFFICULTY_SELECT,Choose Difficulty
GUI_DUNGEON_VICTORY,"Congratulations.  You have beaten the scenario.
"
GUI_EARLY_ACCESS,Early Access Build
GUI_EARLY_ACCESS_PAGE_1_INFO_1,"A new Mercenary has appeared!
The 7th playable character has been added to the roster and this is also the 1st of the unlockable characters from the board game. As we know many of you are still keen to avoid spoilers, we have added an unlock confirmation so you won’t see anything you don’t want to! 
"
GUI_EARLY_ACCESS_PAGE_1_INFO_2,"In addition to the new character class, 8 new abilities have been added which means Cragheart, Brute and Scoundrel now have all their abilities and thanks to the success of the recent community challenge the Brute now has an Alt Skin available as well!"
GUI_EARLY_ACCESS_PAGE_1_INFO_3,Steam Workshop is now available to everyone and as a special surprise we have added the Level Editor to the game so players can create custom scenarios. Check out the insanely difficult example puzzle levels from community member Kitastrophe!
GUI_EARLY_ACCESS_PAGE_1_INFO_4,Our next focus is on a major update to Adventure Mode that is going to provide a better experience for new players and plenty of new content for existing players. We are excited to share more about this in the coming weeks.
GUI_EARLY_ACCESS_PAGE_1_TITLE,Now and Next
GUI_EARLY_ACCESS_PAGE_2_INFO_1,"We are still in the early stages of development, so please be prepared to find some bugs and even the occasional crash as you play. Our apologies in advance for these, but rest assured that we are working hard to improve the game with every update and the feedback from our Early Access players is a vital part of this process."
GUI_EARLY_ACCESS_PAGE_2_INFO_2,"If you would like to get more involved with the community, click on the links below to join us on Social Media!"
GUI_EARLY_ACCESS_PAGE_2_TITLE,A Work In Progress
GUI_EARLY_ACCESS_PAGE_3_INFO,"In general we will try to avoid making changes that will invalidate your save data as we update the game, but we are too early in development to promise that all your progression will always carry over.<br><br>We have lots of ideas about how to expand our Adventure mode and we are excited to hear suggestions from the community, but some of these might require us to wipe progression.<br><br>We will keep you well informed if we think that is going to happen and give you time to finish your current adventures."
GUI_EARLY_ACCESS_PAGE_3_TITLE,Progression During Early Access
GUI_EARLY_ACCESS_PAGE_4_TITLE,Tutorial and Learning the Game
GUI_EARLY_ACCESS_TITLE,Welcome to Gloomhaven Early Access!
GUI_EASY,Easy
GUI_EDIT,Edit
GUI_EFFECTS,Effects
GUI_ELEMENT_AIR,Air
GUI_ELEMENT_ANY,Any
GUI_ELEMENT_DARK,Dark
GUI_ELEMENT_EARTH,Earth
GUI_ELEMENT_FIRE,Fire
GUI_ELEMENT_ICE,Ice
GUI_ELEMENT_INFUSION_CREATED,{0} Element Created!
GUI_ELEMENT_INFUSION_CREATING,Creating ...
GUI_ELEMENT_LIGHT,Light
GUI_ELEMENT_STATUS_INERT,Inert
GUI_ELEMENT_STATUS_INFUSING,Infusing
GUI_ELEMENT_STATUS_STRONG,Strong
GUI_ELEMENT_STATUS_WANING,Waning
GUI_ENCOUNTER,Encounter!
GUI_ENCOUNTER_RECEIVED,You've received
GUI_END_PULL,End Pull
GUI_END_PUSH,End Push
GUI_END_ROUND,End Round
GUI_END_SELECTION,End Selection
GUI_END_TURN,End {0}’s Turn
GUI_ENHANCE,Enhance
GUI_ENHANCEMENTS,Enhancements
GUI_ENHANCEMENTS_TOOLTIP,"This screen allows you to add Enhancements to all of your abilities. Select the Ability, then the Enhancement Slot and then the Enhancement you wish to add to that slot. Be aware that different Enhancements cost a different base amount and that cost is modified by the number of Enhancements already on the card and the type of ability it is. When you remove an Enhancement, you recover half of its original cost.

To ensure that the Enhancement system gets as much testing as possible, there is currently no limit on the number of Enhancements, this will be changed in a later Adventure Mode Update, so don't worry!"
GUI_ENHANCEMENT_CARDS_ENHANCED,"All <sprite name=""Card_Icon""><color=#CEAD5A> Ability Cards</color> are fully Enhanced"
GUI_ENHANCEMENT_CARD_CANT_BE_ENHANCED,"This <sprite name=""Card_Icon""> Ability Card cannot be <color=#CEAD5A>Enhanced</color>"
GUI_ENHANCEMENT_CARD_FULLY_ENHANCED,"This <sprite name=""Card_Icon""> Ability Card has been <color=#CEAD5A>fully Enhanced</color>"
GUI_ENHANCEMENT_CARD_NOT_ENHANCED,"This <sprite name=""Card_Icon""> Ability Card is <color=#CEAD5A>not Enhanced</color>"
GUI_ENHANCEMENT_COST_BASE,Base Cost 
GUI_ENHANCEMENT_COST_CARD_LEVEL,Card Level 
GUI_ENHANCEMENT_COST_EXISTING,Existing Enhancement 
GUI_ENHANCEMENT_COST_ORIGINAL,Original price
GUI_ENHANCEMENT_FILTER,Enhance: <color=white>{0}</color>
GUI_ENTER_NAME,Enter Name
GUI_ENTER_VILLAGE,Enter Village
GUI_EQUIPPED,Equipped
GUI_ERROR_CONTINUE_BUTTON,Continue
GUI_ERROR_EXIT_GAME_BUTTON,Exit Game
GUI_ERROR_LOAD_CHECKPOINT_BUTTON,Reset Save to Checkpoint
GUI_ERROR_MAIN_MENU_BUTTON,Go to Main Menu
GUI_ERROR_REBUILD_RULESET_BUTTON,Rebuild Ruleset
GUI_ERROR_RESET_SAVEFILE_BUTTON,Reset Save File
GUI_ERROR_RESET_SCENARIO_BUTTON,Reset Scenario To Start
GUI_EXIT,Exit
GUI_EXIT_JOURNEY,Abandon Journey
GUI_EXIT_SHOP,Exit Shop
GUI_EXIT_VILLAGE,Leave {0}
GUI_EnemiesKilled,The Objective Bar shows the percentage of enemies killed within in the scenario. Use it to estimate how dangerous the remaining rooms are.
GUI_FINISH,Finish
GUI_FINISH_TARGET_SELECT,Finish Target Selection
GUI_GAINED_GOLD,Party Gold Earned
GUI_GAINED_HEALTH,Gained {0} health
GUI_GAINED_LEVEL,Gained {0} level(s)
GUI_GIFT_ABILITY_CARD,You've received an Ability Card
GUI_GIFT_ADVANTADGE,You have gained Advantage
GUI_GIFT_BLESS,You have been Blessed
GUI_GIFT_CURSED,You have been Cursed
GUI_GIFT_DAMAGE,Each character starts the next scenario suffering {0} damage
GUI_GIFT_DISADVANTADGE,You have gained Disadvantage
GUI_GIFT_DISARMED,You have been Disarmed
GUI_GIFT_ENHANCEMENT,You've received an Enhancement
GUI_GIFT_IMMOBILIZED,You have been Immobilized
GUI_GIFT_INFUSION,Start the next scenario with {0} infused
GUI_GIFT_INVISIBLE,You have been granted Invisibility
GUI_GIFT_ITEM,You've received an Item
GUI_GIFT_LOST_GOLD,You've lost {0} Gold
GUI_GIFT_MUDDLED,You have been Muddled
GUI_GIFT_NEGATIVE_CONDITION,You suffer from an unknown condition
GUI_GIFT_NONE,I've got nothing for you
GUI_GIFT_PERK,You've received a Perk
GUI_GIFT_POISON,You have been Poisoned
GUI_GIFT_POSITIVE_CONDITION,You have gained a positive effect
GUI_GIFT_ROUNDS_DURATION, for the first round of the next scenario
GUI_GIFT_SEVERAL_ROUNDS_DURATION, for {0} rounds
GUI_GIFT_STRENGTHENED,You have been Strengthened
GUI_GIFT_STUNNED,You have been Stunned
GUI_GIFT_WIN_GOLD,You've gained {0} Gold
GUI_GIFT_WOUNDED,You have been Wounded
GUI_GIFT_XP,You've gained {0} XP
GUI_HARD,Hard
GUI_HOW_TO_PLAY,How to Play
GUI_HeroLevel,Character level.
GUI_INOX_PREVIEW,"Also, a group of rebellious Inox Warriors have set up a base in the forest and are raiding the local populus. Head to their location and take them down! "
GUI_INOX_WIN,"With the Inox dead, this area is once again safe from their attacks, hopefully you picked up one of their large axes before you left?"
GUI_INVENTORY,Inventory
GUI_INVENTORY_ITEMS,Equipment
GUI_INVENTORY_SLOT_Body,Body Item
GUI_INVENTORY_SLOT_Hands,Hands Items
GUI_INVENTORY_SLOT_Head,Head Item
GUI_INVENTORY_SLOT_Legs,Leg Item
GUI_INVENTORY_SLOT_OneHand,Hand 1 Item
GUI_INVENTORY_SLOT_SmallItem,Small Item {0}
GUI_INVENTORY_SLOT_SmallItems,Small Items
GUI_INVENTORY_SLOT_TwoHand,Hand 2 Item
GUI_ITEMS_LOSE_DURABILITY,Your items have lost 1 durability
GUI_ITEMS_TABLE,Items
GUI_ITEM_BOUND_TO,"This item is Bound to the <color=#{0}>{1}</color><sprite name=""{2}"" color=#{0}>"
GUI_ITEM_CARDS_BODY,Body Cards
GUI_ITEM_CARDS_HAND,Hand Cards
GUI_ITEM_CARDS_HEAD,Head Cards
GUI_ITEM_CARDS_LEGS,Legs Cards
GUI_ITEM_CARDS_NONE,None
GUI_ITEM_CARDS_SMALLITEM,Small Item Cards
GUI_ITEM_EQUIPPED_DIFFERENT_SLOT,Equipped in slot <color=#F1DBAEFF> {0}</color>
GUI_ITEM_GUI_ITEM_SLOT_SMALLITEM_LOCKED_DESCRIPTION,Unlock the {0}th Small Item slot at Level 3
GUI_ITEM_SLOT_BODY,Body
GUI_ITEM_SLOT_HAND,Hand
GUI_ITEM_SLOT_HEAD,Head
GUI_ITEM_SLOT_LEGS,Legs
GUI_ITEM_SLOT_SMALLITEM,Small Item
GUI_JOURNEY,Journey
GUI_JOURNEY_START_TIP,Choose a path to a settlement. Failing the Journey will return you back to the starting village.
GUI_JOURNEY_START_TIP_TITLE,Start a Journey
GUI_JOURNEY_TO,Journey to {0}
GUI_LEAVE,Leave
GUI_LEVEL,Level
GUI_LEVELUP,LEVEL {0}!
GUI_LEVELUP_AVAILABLE_CARDS,<color=#CEAD5A>{0}</color> Ability Cards Available!
GUI_LEVELUP_CHARACTER,{0} has reached
GUI_LEVELUP_CHOOSE_CARD,Add 1 new card to the {0}'s Deck
GUI_LEVELUP_NEW_CARDS,Further Ability Cards
GUI_LEVELUP_NEW_CARDS_TOOLTIP,"<color=#CEAD5A>Further Abilities</color> are those that don't make it into a Mercenary's Mastered Abilities set.
1 Locked card can be added to Mastered Abilities set after leveling up"
GUI_LEVELUP_RECEIVED_CARDS,"You've just received <sprite name=""Card_Icon""><color=#CEAD5A>{0} New ability cards!</color>
Choose <color=#CEAD5A>One</color> to permanently add to Mercenary's Deck"
GUI_LEVEL_EDITOR,Level Editor
GUI_LOAD,Load
GUI_LOADING,Loading
GUI_LOADING_DOTS,Loading...
GUI_LOAD_ADVENTURE,Load Adventure
GUI_LOAD_ADVENTURE_DESCRIPTION,Choose saved data to resume...
GUI_LOAD_ADVENTURE_DIFFICULTY,Difficulty:
GUI_LOAD_ADVENTURE_GOLD,Party Gold:
GUI_LOAD_ADVENTURE_ITEMS,Items:
GUI_LOAD_ADVENTURE_LOCATION,Location:
GUI_LOAD_ADVENTURE_START_JOURNEY,Ready to start a new journey!
GUI_LOAD_CAMPAIGN,Load
GUI_LOAD_MODCONFIG,Load ModConfig
GUI_LOAD_MODDING,Load Mod
GUI_LOAD_SCENARIO,Load Scenario
GUI_LOCKED,Locked
GUI_LOCKED_CARD_TOOLTIP,"Cards that haven't been added to Mastered Abilities remain <color=#CEAD5A>Locked</color> unless an unlock point is spend to do so.
Choose <color=#CEAD5A>Reset Mercenary</color> to rebuild a Master's Ability set."
GUI_LOCKED_OBJECT,Locked {0}
GUI_LONG_REST,Long rest
GUI_LOSE_CARD,"<sprite name=""Lost""> Burn ""{0}""
"
GUI_LOSE_CARDS,"<sprite name=""Lost""> Burn Cards
"
GUI_MAIN_MENU,Main Menu
GUI_MANAGE_MODS,Manage Mods
GUI_MEDIUM,Medium
GUI_MIND_CONTROL,Mind Control
GUI_MIND_CONTROL_ACTION,This character is under the effect of mind control for one action
GUI_MIND_CONTROL_TURN,This character is under the effect of mind control for their next turn this round
GUI_MODDED,Modded
GUI_MODDING,Modding
GUI_MODDING_APPLY_MOD,Please Wait.  Processing '{0}'
GUI_MODDING_CREATE_NEW_RULESET,Create New Ruleset
GUI_MODDING_DELETE_RULESET,Ruleset '{0}' deleted
GUI_MODDING_FILE_CONFLICT,File Conflict
GUI_MODDING_FILE_CONFLICT_DESC,There is a collision between mods!
GUI_MODDING_INVALID_RULESET_CHAR,The name for the Ruleset can't contain any characters that are not supported for directory names on your OS
GUI_MODDING_INVALID_RULESET_NAME,Invalid Ruleset name
GUI_MODDING_LOAD_ERROR,"Current ModConfig has not been loaded. 
Reverting to Core ModConfig.
All ModConfig upgrades & fixes could be done in Modding Menu."
GUI_MODDING_MENU,Modding
GUI_MODDING_NOTIFICATION,Modding Notification
GUI_MODDING_RULESET_CREATED,A new Ruleset folder has been created with the name '{0}'
GUI_MODDING_RULESET_DIR_ERROR,An error occurred attempting to create the new Ruleset directory
GUI_MODDING_RULESET_LOADED_FAIL,Failed to load '{0}'
GUI_MODDING_RULESET_LOADED_OK,Successfully loaded '{0}'
GUI_MODDING_WAIT_CREATING_RULESET,Please Wait. Creating new Ruleset '{0}'
GUI_MODDING_WAIT_LOADING_RULESET,Please Wait.  Loading '{0}'
GUI_MODDING_WELCOME_DESC,"The first thing you will need to do is create a Custom Ruleset. 

Each Custom Ruleset can have multiple mods applied as long as the mods don't edit the same files. Warning messages will be displayed if this happens.

The mods you download from the Steam Workshop are not officially supported so if you have any issues please contact the mod creator. We also can't promise you won't find spoilers in these mods but we advise anyone creating mods to be clear in the description about any potential spoilers."
GUI_MODDING_WELCOME_TITLE,Welcome to Modding in Gloomhaven!
GUI_MOD_CREATED,Mod '{0}' has been created
GUI_MOD_CREATE_EMPTY_NAME,Empty Mod name
GUI_MOD_CREATE_INVALID_CHAR,The name for the Mod can't contain any characters that are not supported for directory names on your OS
GUI_MOD_CREATE_MOD_EXIST,Mod with name '{0}' already exists
GUI_MOD_DELETED,Mod '{0}' has been deleted
GUI_MOD_HAS_EXECUTABLES,Mod has executable
GUI_MOD_IS_ACTIVE,Active
GUI_MOD_IS_INACTIVE,Inactive
GUI_MOD_NOT_TESTED_VERSION,Not Tested Version
GUI_MOD_NOT_TESTED_VERSION_DESC,Mod was not tested on your build version. Do you want to continue?
GUI_MOD_SOURCE_CUSTOM,Source: Custom Mod
GUI_MOD_SOURCE_WORKSHOP,Source: Steam Mod
GUI_MOD_TOO_BIG,"Mod size is too big, keep it under 20MB"
GUI_MOD_UPDATE,Update
GUI_MOD_UPLOADING_BEGIN,Uploading Mod '{0}'
GUI_MOD_UPLOAD_FAILED,Upload Failed
GUI_MOD_UPLOAD_FINISH,Upload Complete
GUI_MOD_VERSION,Version {0}
GUI_MONSTER_CARD,Monster Card
GUI_MOVE,Travel to {0}
GUI_MULTIPLAYER,Multiplayer
GUI_MULTIPLAYER_CONNECTING,Connecting...
GUI_MULTIPLAYER_CONNECTING_CancelingConnection,Canceling session.
GUI_MULTIPLAYER_CONNECTING_Connecting,Establishing connection.
GUI_MULTIPLAYER_CONNECTING_DownloadingNewSave,Downloading new save.
GUI_MULTIPLAYER_CONNECTING_None,
GUI_MULTIPLAYER_CONNECTING_SavePointReached,The party has reached the save point.
GUI_MULTIPLAYER_CONNECTING_SearchingForSession,Searching for session.
GUI_MULTIPLAYER_CONNECTING_SessionFound,Session found!
GUI_MULTIPLAYER_CONNECTING_StartingClient,Starting client.
GUI_MULTIPLAYER_CONNECTING_WaitUntilSavePoint,Waiting for the party to reach the next save point.
GUI_MULTIPLAYER_CONNECTION_FAILED,Connection Failed
GUI_MULTIPLAYER_CONNECTION_FAILED_ConnectionToSessionFailed,Connection Timed Out
GUI_MULTIPLAYER_CONNECTION_FAILED_DifferentBuildType,Different Build Type
GUI_MULTIPLAYER_CONNECTION_FAILED_DifferentVersion,Different Version
GUI_MULTIPLAYER_CONNECTION_FAILED_IncorrectPassword,Incorrect Password
GUI_MULTIPLAYER_CONNECTION_FAILED_InvalidFilePath,Invalid File Path
GUI_MULTIPLAYER_CONNECTION_FAILED_InvalidGameMode,Invalid Game Mode
GUI_MULTIPLAYER_CONNECTION_FAILED_InvalidSessionData,Invalid Session Data
GUI_MULTIPLAYER_CONNECTION_FAILED_InvalidUserData,Invalid User Data
GUI_MULTIPLAYER_CONNECTION_FAILED_SessionFull,Session Full
GUI_MULTIPLAYER_CONNECTION_FAILED_SessionNotFound,Session Not Found
GUI_MULTIPLAYER_CONNECTION_FAILED_UserBlocked,User Blocked
GUI_MULTIPLAYER_END_SESSION,End Session
GUI_MULTIPLAYER_ENTER_INVITE_CODE,Enter Invite Code
GUI_MULTIPLAYER_GENERATE_INVITE_CODE,Generate New Invite
GUI_MULTIPLAYER_HERO_ASSIGN_TIP,Invite Players and assign them control over one or more Mercenaries
GUI_MULTIPLAYER_HERO_SLOT,Mercenary {0}
GUI_MULTIPLAYER_HOST,Host
GUI_MULTIPLAYER_INVITE_ACCEPTED,Invitation Accepted!
GUI_MULTIPLAYER_INVITE_CODE,Invite Code
GUI_MULTIPLAYER_INVITE_CODE_TITLE,Invite Code:
GUI_MULTIPLAYER_JOIN,Join Session
GUI_MULTIPLAYER_JOINING_SESSION,Loading Scene...
GUI_MULTIPLAYER_JOIN_SESSION_TITLE,Join Session:
GUI_MULTIPLAYER_PARTY,Multiplayer Party
GUI_MULTIPLAYER_REMOVE_USER,Remove User
GUI_MULTIPLAYER_WARNING_TEXT_WaitingForConnectingPlayersToJoin,There are players waiting to be connected. Halting progress until everyone has joined the game.
GUI_MULTIPLAYER_WARNING_TEXT_WaitingForMorePlayers,Invite another player to continue playing Multiplayer or switch back to Single-player in the Player Menu.
GUI_MULTIPLAYER_WARNING_TITLE_PROGRESSION_DISABLED,Progression disabled
GUI_NEGATIVE_CONDITIONS,Negative Conditions
GUI_NEW_ADVENTURE,New Adventure
GUI_NEW_CAMPAIGN,New Campaign
GUI_NEW_CARD_NOTIFICATION,New Ability Cards have been added that are below your current level. For this reason we're giving you a chance to <color=#CEAD5A>reset your Ability Deck for free</color> and try out some abilities you might have missed!
GUI_NEW_CARD_NOTIFICATION_TITLE,New cards have been added!
GUI_NEW_ITEM,New!
GUI_NEW_RULESET,New Ruleset:
GUI_NO_MODS_MESSAGE,"You have created new Custom Ruleset!
<color=#f3ddab>Visit the Workshop</color> by clicking the link below and start
adding Mods to your Ruleset!"
GUI_OBJECTIVE_FILTER_ACTOR_ENEMY,Enemies
GUI_OBJECTIVE_FILTER_ACTOR_PLAYER,Mercenaries
GUI_OBJECTIVE_FILTER_ACTOR_SUMMON,Allies
GUI_OBJECTIVE_KILL_BOSSES_LOSE,Lose if all bosses die
GUI_OBJECTIVE_KILL_BOSSES_WIN,Kill all bosses
GUI_OBJECTIVE_KILL_ENEMY_LOSE,Lose if all enemies die
GUI_OBJECTIVE_KILL_ENEMY_WIN,Kill all enemies in all rooms
GUI_OBJECTIVE_KILL_X_LOSE,"Lose if {0} enemies die
"
GUI_OBJECTIVE_KILL_X_LOSE_FILTERED,"Lose if {0} {1} die
"
GUI_OBJECTIVE_KILL_X_WIN,Kill {0} enemies to win
GUI_OBJECTIVE_KILL_X_WIN_FILTERED,Kill {0} {1} to win
GUI_OBJECTIVE_LOOT_X_LOSE,Lose if you loot {0}
GUI_OBJECTIVE_LOOT_X_WIN,Loot {0} to win
GUI_OBJECTIVE_REACH_POSITION_LOSE,Reach Tile to lose
GUI_OBJECTIVE_REACH_POSITION_WIN,Reach Tile to win
GUI_OBJECTIVE_REACH_ROUND_LOSE,Win before round {0}
GUI_OBJECTIVE_REACH_ROUND_WIN,Survive until round {0}
GUI_OK,OK
GUI_ON_ATTACK_CONDITIONS_TITLE,On-Attack Conditions
GUI_ON_DEATH_ADJACENT,On death: Attack <sprite name=Attack> {0}. Target all adjacent enemies.
GUI_OPEN_DOOR,Open Door
GUI_OPTIONS,Options
GUI_OPT_AUDIO,Audio
GUI_OPT_AUDIO_EFFECTS,Effects Volume
GUI_OPT_AUDIO_MASTER,Master Volume
GUI_OPT_AUDIO_MUSIC,Music Volume
GUI_OPT_COMBAT_LOG,Combat Log
GUI_OPT_COMBAT_LOG_ABILITIES,Abilities
GUI_OPT_COMBAT_LOG_CONDITIONS,Conditions and Effects
GUI_OPT_COMBAT_LOG_DAMAGE,Damage
GUI_OPT_COMBAT_LOG_DEATHS,Deaths
GUI_OPT_COMBAT_LOG_HEALING,Healing
GUI_OPT_COMBAT_LOG_INFUSIONS,Element Infusions
GUI_OPT_COMBAT_LOG_ITEMS,Items
GUI_OPT_COMBAT_LOG_MODIFIERS,Modifiers
GUI_OPT_COMBAT_LOG_OFF,Off
GUI_OPT_COMBAT_LOG_ON,On
GUI_OPT_CONTROL,Controls
GUI_OPT_CONTROL_CAMERA,Camera Controls
GUI_OPT_CONTROL_CAMERA_MD,Move Down
GUI_OPT_CONTROL_CAMERA_ML,Move Left
GUI_OPT_CONTROL_CAMERA_MR,Move Right
GUI_OPT_CONTROL_CAMERA_MU,Move Up
GUI_OPT_CONTROL_CAMERA_RL,Rotate Left
GUI_OPT_CONTROL_CAMERA_RR,Rotate Right
GUI_OPT_CONTROL_OTHER,Other controls
GUI_OPT_CONTROL_OTHER_DC,Display All Cards
GUI_OPT_CONTROL_OTHER_HI,Highlight Interactables
GUI_OPT_CONTROL_RESET,Reset
GUI_OPT_CONTROL_TARGETING,Targeting Controls
GUI_OPT_CONTROL_TARGETING_RL,Rotate Left
GUI_OPT_CONTROL_TARGETING_RR,Rotate Right
GUI_OPT_GRAPHICS,Graphics
GUI_OPT_GRAPHICS_ANISOTROPIC,Anisotropic Textures
GUI_OPT_GRAPHICS_ANTIALIASING,Anti Aliasing
GUI_OPT_GRAPHICS_BEAUTIFUL,Beautiful
GUI_OPT_GRAPHICS_CUSTOM,Custom
GUI_OPT_GRAPHICS_FANTASTIC,Fantastic
GUI_OPT_GRAPHICS_FAST,Fast
GUI_OPT_GRAPHICS_FASTEST,Fastest
GUI_OPT_GRAPHICS_GOOD,Good
GUI_OPT_GRAPHICS_OTHER,Other
GUI_OPT_GRAPHICS_PIXEL_LIGHT,Pixel Light Count
GUI_OPT_GRAPHICS_REFLECTION_PROBE,Realtime Reflection Probes
GUI_OPT_GRAPHICS_RENDER,Rendering
GUI_OPT_GRAPHICS_SHADOWS,Shadows
GUI_OPT_GRAPHICS_SHADOW_RES,Shadow Resolution
GUI_OPT_GRAPHICS_SIMPLE,Simple
GUI_OPT_GRAPHICS_SKIN_WEIGHT,Skin Weights
GUI_OPT_GRAPHICS_SOFT_PARTICLES,Soft Particles
GUI_OPT_GRAPHICS_TEXTURE_QUALITY,Texture Quality
GUI_OPT_GRAPHICS_VSYNC,VSync Count
GUI_OPT_LANGUAGE,Language
GUI_OPT_LANG_RESTART,To apply language application should be restarted
GUI_OPT_LANG_TITLE,Action Required
GUI_OPT_VIDEO,Video
GUI_OPT_VIDEO_BORDERLESS,Borderless
GUI_OPT_VIDEO_DISPLAY,Display Mode
GUI_OPT_VIDEO_FULLSCREEN,Fullscreen
GUI_OPT_VIDEO_RESOLUTION,Resolution
GUI_OPT_VIDEO_WINDOWED,Windowed
GUI_PARTY,Party
GUI_PARTY_ASSEMBLY_ENTER_NAME,Enter Party Name
GUI_PARTY_PRICE,Cost: {0} Renown
GUI_PARTY_SIZE,{0} Heroes
GUI_PASS,Pass
GUI_PASSIVE_ATTRIBUTES,Passive Attributes
GUI_PASSIVE_ATTRIBUTES_DESCRIPTION,Passive Attributes allow the character to ignore specific negative effects
GUI_PERKS,Perks
GUI_PERKS_LEGEND_ADD,Add:
GUI_PERKS_LEGEND_QUANTITY,Quantity:
GUI_PERKS_LEGEND_REMOVE,Remove:
GUI_PERKS_POINTS,<color=#F3DDABFF>{0}</color> Point<color=#5D5D5DFF>(s)</color> Available!
GUI_PERKS_TOOLTIP,"Welcome to the <b>Perks</b> Screen. Here you are able to spend any <b>Perks</b> you have acquired to add, remove or replace your existing <b>Attack Modifiers</b>. Look at your abilities and items and decide the <b>Attack Modifiers</b> best for your character, but be careful, once spent, <b>Perks</b> cannot be undone!"
GUI_PERK_MODIFIER_ADD,Add
GUI_PERK_MODIFIER_REMOVE,Remove
GUI_PERK_MODIFIER_REPLACE,Replace
GUI_PERK_MODIFIER_REPLACE_WITH,with
GUI_PERSISTENT_BONUSES,Persistent Bonuses
GUI_PLAYER_DIE_BANNER,{0} has Died
GUI_PLAYER_EXHAUSTED_BANNER,{0} is Exhausted
GUI_PLAYSTEST_LEVELS,Playtest Levels
GUI_POSITIVE_CONDITIONS,Positive Conditions
GUI_PartyGold,Gold coins owned by the party.
GUI_PartyLevel,"Party Level: This is calculated by taking the average character level in the party, dividing by 2 and rounding up. This is then used to determine the level of enemies, the damage of traps and the value of loot in the Scenario."
GUI_QUEST_ENEMIES,Enemies:
GUI_QUEST_REWARDS,Rewards:
GUI_REDRAW_CARD,"Redraw <color=""red"">(<sprite name=""Attack"" tint=1 >1 Self)"
GUI_REFRESH_ITEMS_TIP,Refresh item
GUI_REFRESH_ITEMS_TITLE,Choose an item to refresh
GUI_REFRESH_MODS,Refresh Mods
GUI_REMOVE,Remove
GUI_RENOWN,Renown
GUI_RESET_CHARACTER_LEVEL,Reset Mercenary
GUI_RESET_CHARACTER_LEVEL_CONFIRMATION,Reset Abilities
GUI_RESET_CHARACTER_LEVEL_TOOLTIP,"<color=#CEAD5A>Reset Mercenary</color> returns a Mercenary's Mastered Abilities and Perks to the starting set and allow you to rebuild a character from level 1 up to his or her current level.
Reset Mercenary will not affect the Mercenary's current XP.
Reset Mercenary will become more expensive everytime you choose to do so."
GUI_RESET_PARTY,Reset Party
GUI_RESULTS_ACCOMPLISHMENTS,Accomplishments
GUI_RESULTS_CHESTS,Chests Looted
GUI_RESULTS_DAMAGE_DONE,Damage Done
GUI_RESULTS_DAMAGE_TAKEN,Damage Taken
GUI_RESULTS_ENEMIES,Enemies Killed
GUI_RESULTS_GOLD,Gold Piles Looted
GUI_RESULTS_HEALING,Healing Done
GUI_RESULTS_ITEMS_SPENT,Items Used
GUI_RESULTS_LOSE,Defeat
GUI_RESULTS_OBJECTIVE,Objective
GUI_RESULTS_REWARD,Claim your Reward!
GUI_RESULTS_STATS,Stats
